Company/Location,Device Count ,Date
MUV Hollywood,2,1/3/2023
MUV Wellington,2,1/3/2023
MUV Tampa,2,1/3/2023
Brothers Newport,1,1/4/2023
Pleasantrees Mt Clemins,3,1/5/2023
Zen Leaf Meridan (Willow Brook),5,1/5/2023
PBT PDX201,1,1/6/2023
The Hi Line Co Kalispell,5,1/9/2023
MUV Tampa-Himes,2,1/13/2023
gLeaf Colonial Heights,3,1/17/2023
Zen Leaf Clifton Heights,8,1/23/2023
Bryan's Green Care Roswell,1,1/25/2023
Bryan's Green Care Ruidoso,2,1/25/2023
Bryan's Green Care Las Cruces,1,1/25/2023
Lake Life Farms,2,2/1/2023
Exclusive Craegivers of California,6,2/2/2023
Nova Farms Woodbury,9,2/9/2023
Packs Club Wilmington,7,2/13/2023
Green Leaf Central,3,2/14/2023
Natural Rx Socorro,2,2/15/2023
Natural Rx Albuquerque ,2,2/15/2023
Natural Rx Rio Rancho ,3,2/15/2023
Natural Rx Los Lunas,2,2/15/2023
Hi Line Stockyard,3,2/17/2023
Broadway Cannabis,10,2/17/2023
Dakota Herb Huron ,1,2/20/2023
Dakota Herb Vermillion ,1,2/20/2023
Dakota Herb Brandon ,1,2/20/2023
Fluent Jacksonville Beach,5,2/23/2023
Lionheart Billings,1,2/23/2023
Lionheart Bozeman ,2,2/23/2023
Lionheart Butte,1,2/23/2023
Lionheart Great Falls,1,2/23/2023
Lionheart Helena,1,2/23/2023
Lionheart Kalispell ,1,2/23/2023
Lionheart Four Corners,1,2/23/2023
Lionheart Missoula,1,2/23/2023
Crunch Fitness Fern Creek,12,2/23/2023
The Hi Line Co Ronan,1,2/23/2023
Crunch Fitness Outer Loop,12,2/23/2023
Crunch Fitness Middletown,2,2/23/2023
Pharmtrue,2,2/24/2023
Silver State Fernly,11,2/27/2023
Silver State Sparks,14,2/27/2023
Latitude Dispensary,11,2/28/2023
Green Door Seattle,3,3/1/2023
Discern Cannabis,3,3/2/2023
Lake Life Farms Stanton,1,3/2/2023
High Profile Detroit,1,3/2/2023
TruBliss,4,3/3/2023
Crunch Fitness Gainesville,4,3/8/2023
Catalyst Pine,5,3/9/2023
Catalyst Mid City,3,3/16/2023
Natural Rx Los Lunas,2,3/17/2023
Natural Rx Socorro,1,3/17/2023
Elevated Havre,1,3/20/2023
Willow Pharmacy,1,3/24/2023
Rocky Road Remedies,3,3/30/2023
Bloc Dispensary Waretown,4,3/30/2023
The Hi Line Co Stockyard,3,3/30/2023
LA Kush Hollywood,4,4/5/2023
CannaOrganics,1,4/5/2023
Maui Grown Pukalani ,1,4/6/2023
Maui Grown Lahaina ,2,4/6/2023
THe Hi Line Co Kalispell,1,4/6/2023
Fluent Pensacola (Chase St),3,4/7/2023
Zen Leaf (MUV) Apollo Beach,1,4/7/2023
Kushmans Everett,4,4/7/2023
Exclsuive Caregivers,1,4/10/2023
South Dakota Herb Aberdeen,1,4/11/2023
Safeport Dispensary,4,4/11/2023
Craft 1861,12,4/11/2023
Fluent Pensacola (Chase St),2,4/13/2023
Zen Leaf El Dorado,4,4/17/2023
Pure Options 106,22,4/17/2023
Zen Leaf Philly - McKnight,9,4/21/2023
Zen Leaf Norwich,8,4/21/2023
Crunch Fitness Evansville,12,4/25/2023
Stokes ,2,5/1/2023
Catalyst Costa Mesa,3,5/2/2023
Catalyst Watsonville,3,5/2/2023
Alton Dispensary,6,5/5/2023
Crunch Fitness Evansville,3,5/5/2023
Stash Dispensary,10,5/8/2023
Bud Express,1,5/8/2023
People's California Oak Refinery,1,5/17/2023
Blum,6,5/22/2023
BB Botanics,2,5/23/2023
Himalayan High,1,5/31/2023
The Reef Powered by Hwy Dispo - Muskegon Heights,6,5/31/2023
The Reef Powered by Hwy Dispo - Detroit,6,5/31/2023
Hwy Dispo - Battle Creek,6,5/31/2023
Highway Dispo - Flint,16,5/31/2023
OG Nation El Monte,8,6/2/2023
Peake ReLeaf,4,6/2/2023
Medicine Man,28,6/5/2023
Stash Dispensaries Peru,3,6/7/2023
Dort Hwy Dispo,2,6/7/2023
Bwell Caguitas Mall ,4,6/9/2023
Prohibition 37 San Mateo,4,6/12/2023
Prohibition 37 Albuquerque,1,6/12/2023
Zen Leaf Local Joint,2,6/12/2023
Fluent Crestview,3,6/13/2023
Catalyst Figueroa ,4,6/16/2023
Terrace Cannabis,8,6/20/2023
Shango Ognahs [Moval 2],6,6/22/2023
High Profile Roxbury,1,6/23/2023
Fire Island,2,6/23/2023
Catalyst Costa Mesa,3,6/26/2023
Catalyst Figueroa,4,6/26/2023
Zen Leaf Towson,1,6/27/2023
Oz Cannabis Ypsilanti,2,6/28/2023
BB Botanics,1,6/28/2023
Green Flamingo,2,6/30/2023
Elevated Growth OH,8,6/30/2023
Elevated Growth OH,8,7/6/2023
High Profile Roxbury,2,7/6/2023
Catalyst El Monte,4,7/6/2023
Catalyst Stanton,4,7/10/2023
Zen Leaf Towson,4,7/17/2023
Big Island Oahu,3,7/18/2023
Big Island Kaui,2,7/18/2023
Medicine Man Denver,1,7/18/2023
Hi Line Co Whitefish,4,7/24/2023
Bud Express Battle Creek,2,7/25/2023
Maine's Alt. Care Oxford,1,7/25/2023
Maine's Alt. Care Bridgton,2,7/25/2023
Karma Club,7,7/27/2023
The Bud Stop,2,7/27/2023
Fluent Jacksonville (Cassat),4,7/28/2023
Catalyst San Bernadino Inland,4,8/3/2023
Hello High,6,8/7/2023
Bwell Carolina,3,8/7/2023
Bwell Viejo San Juan,3,8/7/2023
Bwell Torrimar,4,8/7/2023
Maine Alt Caring Windham,3,8/7/2023
Palm Beach Tan,15,8/9/2023
Zen Leaf Newington,6,8/10/2023
Crunch Fitness Michigan Road,12,8/11/2023
Crunch Fitness Chimney Hill,12,8/14/2023
Crunch Fitness Columbia GA,12,8/14/2023
Coastal,10,8/14/2023
Hippos Springfield,6,8/21/2023
Hippos Chesterfield,4,8/21/2023
Hippos Columbia,5,8/21/2023
Zen Leaf Newington,1,8/23/2023
Zen Leaf Waterbury ,2,8/23/2023
New Generation Pomona,19,8/24/2023
New Generation Santa Ana,8,8/24/2023
Phasal,6,8/28/2023
Crunch Fitness Michigan Road,2,8/29/2023
Catalyst Oxnard,1,8/29/2023
Willow Pharmacy Slidell,1,8/31/2023
Catalyst Oxnard,1,9/5/2023
Osage Creek,12,9/6/2023
Cannabist Delray,2,9/8/2023
Zen Leaf Waterbury,1,9/13/2023
Downtown FLWR,4,9/14/2023
Apex Cannabis Otis Orchards,1,9/14/2023
Catalyst Van Nuys,7,9/19/2023
Cult Cannabis,5,9/20/2023
H & W Drug Store No 3,1,9/21/2023
H & W Drug Store No 5,1,9/21/2023
Palm Beach Tan ARK206,1,9/21/2023
Palm Beach Tan ARK301,1,9/21/2023
Turn.me,2,9/21/2023
Greenhouse Collective,2,9/25/2023
Crunch Fitness Columbus,1,9/26/2023
Bud Express Big Rapids,3,9/27/2023
Honey,3,9/29/2023
