Company/Location,Device Count ,Date
Green Cross Center,2,6/2/2022
Greenlight Stateline,2,6/6/2022
Going Green Sweet Home,6,6/6/2022
Brothers Cannabis Bath,1,6/6/2022
NM Altitude 528,1,6/6/2022
Greenlight Stateline,2,6/8/2022
Kind Farms REC,5,6/9/2022
Kind Farms MED,3,6/9/2022
Iconic Gaylord,3,6/9/2022
Hi Line,2,6/9/2022
Oasis Cannabis Superstore Evans,2,6/13/2022
Oasis Cannabis Superstore 44th,1,6/13/2022
The Source Homestead,8,6/15/2022
Crunch Fitness Murfreesboro,1,6/20/2022
Mission Ann Arbor,2,6/21/2022
Mainstage Broadway,8,6/28/2022
Mainstage 2nd Street,6,6/28/2022
Commonwealth Alt Care Taunton,2,7/8/2022
Commonwealth Alt Care Brockton,2,7/8/2022
Commonwealth Alt Care Cambridge,2,7/8/2022
Pure Tonic Dispensary,5,7/12/2022
The Bakery Atwater,2,7/12/2022
The Bakery Fort Bragg,1,7/12/2022
Crunch Fitness Norman,2,7/13/2022
The Cake House,6,7/18/2022
Vytal Options Harrisburg,5,7/18/2022
Vytal Options Fogelsville,5,7/18/2022
Vytal Options Lancaster,5,7/18/2022
Vytal Options Lansdale,5,7/18/2022
Classic Roots Farm,4,7/19/2022
Bloc Somerset,4,7/19/2022
6 Bricks,5,7/20/2022
Amplify Coventry,4,7/20/2022
The Green Solution Aspen,4,7/26/2022
Mint Cannabis (Broadway Cannabis Co),5,7/27/2022
High Profile Constantine,3,7/27/2022
Zen Leaf New Kensington,8,8/1/2022
Zen Leaf Elkridge (prev. Jessup),1,8/1/2022
Crunch Fitness Laredo,12,8/3/2022
Crunch Fitness Savannah,12,8/3/2022
Crunch Fitness McKnight,12,8/3/2022
Crunch Fitness Boulder,2,8/5/2022
Pend Oreille,2,8/8/2022
Fire Island,3,8/8/2022
Black Hills Weed Shop,2,8/9/2022
Homegrown Cannabis Company,4,8/9/2022
Theorum Cannabis,1,8/11/2022
Shango Las Vegas,3,8/11/2022
Perfect Union Shasta Lake,2,8/12/2022
Perfect Union Turlock,6,8/12/2022
Perfect Union Napa,2,8/12/2022
Grizzly Pine Whitefish,2,8/15/2022
Bodega Boyz 71st St,7,8/15/2022
Bodega Boyz 91st St,4,8/15/2022
Bodega Boyz 61st St,2,8/15/2022
Zen Leaf Philly,1,8/16/2022
Zen Leaf Malvern,1,8/24/2022
Dort Hwy Dispo,2,8/25/2022
Commonwealth (1 per location),3,8/25/2022
Shango Las Vegas,2,8/29/2022
Catalyst Normandie,3,8/30/2022
High Profile Buchanan,3,8/30/2022
High Profile Roslindale,3,9/1/2022
Phoenix Relief Center,3,9/1/2022
Green State Dispensary,2,9/8/2022
Downtown Dispensary,8,9/8/2022
D2 Dispensary,7,9/8/2022
Homegrown,6,9/8/2022
Fluent Corporate,1,9/12/2022
Fluent Mary Esther,4,9/12/2022
Zen Leaf Mesa,4,9/15/2022
Zen Leaf Gilbert,2,9/15/2022
High Profile Grant,2,9/20/2022
High Profile Ann Arbor,1,9/20/2022
Catalyst Oxnard,3,9/21/2022
Sawmill Calle Cuervo,3,9/22/2022
Sawmill Lomas Fairground,1,9/22/2022
Sawmill Paseo,1,9/22/2022
Sawmill Phoenix,1,9/22/2022
Sawmill Main St,1,9/22/2022
Patong,1,9/23/2022
At The Beach Duncan,1,9/27/2022
Crunch Fitness Warner,12,10/1/2022
Monteverde,3,10/3/2022
Heka,3,10/3/2022
Dort Highway Dispo,1,10/4/2022
Crunch Fitness Dixie,9,10/6/2022
Crunch Fitness Middleton,9,10/6/2022
Sawmill Calle Cuervo,3,10/7/2022
Cannabist Carytown,1,10/10/2022
Big Island Grown Kona,1,10/11/2022
Pure Options #101,2,10/17/2022
Zen Leaf Reno,12,10/18/2022
Crunch Fitness Madison,12,10/18/2022
Crunch Fitness Fayetteville,12,10/18/2022
Crunch Fitness Outer Loop,12,10/18/2022
Crunch Fitness White Station (Memphis),12,10/18/2022
Crunch Fitness Cordova (Memphis),12,10/18/2022
Pure Options NEW #103 ,6,10/18/2022
Greenlight Cambell,2,10/19/2022
Greenlight Cliff,2,10/19/2022
Greenlight Deadwood Ave,2,10/19/2022
Greenlight Gregory,2,10/19/2022
Greenlight Timmons,2,10/19/2022
High Profile Grand Rapids,2,10/19/2022
Elevation 207,2,10/21/2022
Fluent Cape Coral,1,10/24/2022
Fluent Casselberry,1,10/24/2022
Fluent Clearwater ,1,10/24/2022
Fluent Coral Gables,1,10/24/2022
Fluent Coral Springs,1,10/24/2022
Fluent Cutler Bay,1,10/24/2022
Fluent Deerfield Beach,1,10/24/2022
Fluent Fort Myers,1,10/24/2022
Fluent Fort Pierce,2,10/24/2022
Fluent Fort Walton Beach,1,10/24/2022
Fluent Fruitland Park,1,10/24/2022
Fluent Gainesville,1,10/24/2022
Fluent Jacksonville (Atlantic),1,10/24/2022
Fluent Jacksonville (San Jose),1,10/24/2022
Fluent Kendall,1,10/24/2022
Fluent Lake Worth,1,10/24/2022
Fluent Lakeland,1,10/24/2022
Fluent Melbourne,1,10/24/2022
Fluent Miramar Beach,1,10/24/2022
Fluent New Port Richey,1,10/24/2022
Fluent North Miami Beach,1,10/24/2022
Fluent Orlando (Orange Ave),1,10/24/2022
